iter	Passed	Remaining
0	7	7809
1	16	8329
2	23	7799
3	34	8576
4	44	8928
5	55	9136
6	67	9614
7	78	9723
8	88	9772
9	102	10154
10	112	10081
11	121	9977
12	130	9915
13	138	9767
14	149	9816
15	157	9703
16	168	9742
17	179	9769
18	188	9754
19	200	9843
20	211	9846
21	220	9798
22	233	9907
23	243	9907
24	253	9894
25	263	9876
26	269	9702
27	277	9636
28	285	9542
29	292	9447
30	340	10636
31	355	10756
32	360	10577
33	365	10388
34	372	10259
35	376	10070
36	380	9892
37	384	9732
38	390	9612
39	394	9464
40	398	9320
41	402	9177
42	407	9079
43	413	8981
44	417	8856
45	424	8797
46	428	8697
47	433	8595
48	439	8524
49	444	8439
50	448	8340
51	452	8256
52	457	8177
53	461	8088
54	466	8019
55	473	7981
56	477	7905
57	483	7851
58	489	7802
59	494	7741
60	498	7671
61	503	7614
62	508	7560
63	513	7514
64	520	7492
65	526	7453
66	532	7418
67	538	7385
68	544	7345
69	550	7315
70	558	7301
71	563	7268
72	572	7264
73	577	7227
74	584	7210
75	591	7193
76	596	7155
77	603	7137
78	610	7111
79	618	7115
80	624	7085
81	631	7068
82	637	7046
83	643	7014
84	649	6989
85	655	6965
86	659	6922
87	665	6898
88	670	6865
89	674	6822
90	679	6785
91	685	6762
92	689	6723
93	694	6693
94	700	6673
95	704	6636
96	709	6609
97	716	6594
98	720	6559
99	724	6522
100	730	6502
101	736	6481
102	740	6451
103	747	6437
104	752	6412
105	756	6378
106	761	6357
107	767	6336
108	771	6307
109	775	6277
110	781	6262
111	786	6232
112	790	6204
113	796	6189
114	801	6171
115	806	6143
116	813	6136
117	818	6115
118	823	6093
119	830	6088
120	835	6068
121	841	6052
122	848	6048
123	853	6032
124	863	6046
125	870	6039
126	878	6035
127	883	6017
128	888	5999
129	895	5991
130	900	5975
131	904	5949
132	911	5939
133	917	5926
134	921	5906
135	930	5909
136	935	5894
137	940	5875
138	948	5873
139	953	5856
140	960	5849
141	966	5840
142	973	5833
143	981	5832
144	986	5814
145	994	5815
146	998	5795
147	1002	5773
148	1009	5768
149	1014	5750
150	1019	5729
151	1026	5728
152	1031	5709
153	1036	5691
154	1043	5686
155	1047	5669
156	1052	5652
157	1059	5647
158	1064	5629
159	1068	5609
160	1074	5597
161	1078	5578
162	1083	5561
163	1088	5550
164	1093	5531
165	1098	5516
166	1103	5504
167	1109	5495
168	1113	5477
169	1118	5460
170	1124	5450
171	1130	5443
172	1134	5425
173	1140	5413
174	1144	5395
175	1148	5377
176	1153	5365
177	1158	5351
178	1163	5334
179	1167	5317
180	1173	5309
181	1177	5294
182	1182	5277
183	1187	5267
184	1192	5251
185	1196	5234
186	1201	5224
187	1207	5213
188	1211	5199
189	1216	5184
190	1221	5173
191	1225	5157
192	1230	5143
193	1235	5133
194	1240	5120
195	1244	5105
196	1248	5090
197	1254	5079
198	1258	5065
